alias,ingredient_id,standard_name,match_type
abalone,AUS_F000005,"abalone, raw",generated
abalone  raw,AUS_F000005,"abalone, raw",generated
abalone raw,AUS_F000005,"abalone, raw",generated
"abalone, raw",AUS_F000005,"abalone, raw",exact
acai,AUS_F010960,"acai, powder",generated
acai  frozen,AUS_F010965,"acai, frozen",generated
acai  powder,AUS_F010960,"acai, powder",generated
acai bowl,AUS_F010972,acai bowl,exact
acai frozen,AUS_F010965,"acai, frozen",generated
acai powder,AUS_F010960,"acai, powder",generated
"acai, frozen",AUS_F010965,"acai, frozen",exact
"acai, powder",AUS_F010960,"acai, powder",exact
all bran  original,NZ_D1046,"all bran  original, kellogg s , fortified vitamins b1, b2  and  folate",generated
all bran  original  kellogg s   fortified vitamins b1  b2  and  folate,NZ_D1046,"all bran  original, kellogg s , fortified vitamins b1, b2  and  folate",generated
all bran  original kellogg s fortified vitamins b1 b2  and  folate,NZ_D1046,"all bran  original, kellogg s , fortified vitamins b1, b2  and  folate",generated
"all bran  original, kellogg s , fortified vitamins b1, b2  and  folate",NZ_D1046,"all bran  original, kellogg s , fortified vitamins b1, b2  and  folate",exact
almond  dried  blanched,NZ_Q1041,"almond, dried, blanched",generated
almond  dry roasted  salt added,NZ_Q1008,"almond, dry roasted, salt added",generated
almond  dry roasted  unblanched  no salt added,NZ_Q1004,"almond, dry roasted, unblanched, no salt added",generated
almond  kernels  dried  raw  unblanched,NZ_Q1025,"almond, kernels, dried, raw, unblanched",generated
almond  roasted with oil  unblanched  no salt added,NZ_Q1003,"almond, roasted with oil, unblanched, no salt added",generated
almond and coconut milk blend,NZ_C1128,"almond and coconut milk blend, sugar-sweetened, fortified ca and vitamins b1, b2  and  b12",generated
almond and coconut milk blend  sugar-sweetened  fortified ca and vitamins b1  b2  and  b12,NZ_C1128,"almond and coconut milk blend, sugar-sweetened, fortified ca and vitamins b1, b2  and  b12",generated
almond and coconut milk blend  unsweetened  fortified ca and vitamins b1  b2  and  b12,NZ_C1129,"almond and coconut milk blend, unsweetened, fortified ca and vitamins b1, b2  and  b12",generated
almond and coconut milk blend sugar-sweetened fortified ca and vitamins b1 b2  and  b12,NZ_C1128,"almond and coconut milk blend, sugar-sweetened, fortified ca and vitamins b1, b2  and  b12",generated
almond and coconut milk blend unsweetened fortified ca and vitamins b1 b2  and  b12,NZ_C1129,"almond and coconut milk blend, unsweetened, fortified ca and vitamins b1, b2  and  b12",generated
"almond and coconut milk blend, sugar sweetened, fortified ca and vitamins b1, b2  and  b12",NZ_C1128,"almond and coconut milk blend, sugar-sweetened, fortified ca and vitamins b1, b2  and  b12",generated
"almond and coconut milk blend, sugar-sweetened, fortified ca and vitamins b1, b2  and  b12",NZ_C1128,"almond and coconut milk blend, sugar-sweetened, fortified ca and vitamins b1, b2  and  b12",exact
"almond and coconut milk blend, unsweetened, fortified ca and vitamins b1, b2  and  b12",NZ_C1129,"almond and coconut milk blend, unsweetened, fortified ca and vitamins b1, b2  and  b12",exact
almond beverage,AUS_F009969,"almond beverage, unfortified",generated
almond beverage  added ca,AUS_F009970,"almond beverage, added ca",generated
almond beverage  added ca  and  vitamin b1  b2  and  b12,AUS_F009828,"almond beverage, added ca  and  vitamin b1, b2  and  b12",generated
almond beverage  added sugar  and  ca,AUS_F009827,"almond beverage, added sugar  and  ca",generated
almond beverage  added sugar  unfortified,AUS_F009825,"almond beverage, added sugar, unfortified",generated
almond beverage  flavoured,AUS_F010051,"almond beverage, flavoured",generated
almond beverage  no added sugar  added ca,AUS_F009826,"almond beverage, no added sugar, added ca",generated
almond beverage  no added sugar  unfortified,AUS_F009824,"almond beverage, no added sugar, unfortified",generated
almond beverage  not further defined,AUS_F009971,"almond beverage, not further defined",generated
almond beverage  unfortified,AUS_F009969,"almond beverage, unfortified",generated
almond beverage added ca,AUS_F009970,"almond beverage, added ca",generated
almond beverage added ca  and  vitamin b1 b2  and  b12,AUS_F009828,"almond beverage, added ca  and  vitamin b1, b2  and  b12",generated
almond beverage added sugar  and  ca,AUS_F009827,"almond beverage, added sugar  and  ca",generated
almond beverage added sugar unfortified,AUS_F009825,"almond beverage, added sugar, unfortified",generated
almond beverage flavoured,AUS_F010051,"almond beverage, flavoured",generated
almond beverage no added sugar added ca,AUS_F009826,"almond beverage, no added sugar, added ca",generated
almond beverage no added sugar unfortified,AUS_F009824,"almond beverage, no added sugar, unfortified",generated
almond beverage not further defined,AUS_F009971,"almond beverage, not further defined",generated
almond beverage unfortified,AUS_F009969,"almond beverage, unfortified",generated
"almond beverage, added ca",AUS_F009970,"almond beverage, added ca",exact
"almond beverage, added ca  and  vitamin b1, b2  and  b12",AUS_F009828,"almond beverage, added ca  and  vitamin b1, b2  and  b12",exact
"almond beverage, added sugar  and  ca",AUS_F009827,"almond beverage, added sugar  and  ca",exact
"almond beverage, added sugar, unfortified",AUS_F009825,"almond beverage, added sugar, unfortified",exact
"almond beverage, flavoured",AUS_F010051,"almond beverage, flavoured",exact
"almond beverage, no added sugar, added ca",AUS_F009826,"almond beverage, no added sugar, added ca",exact
"almond beverage, no added sugar, unfortified",AUS_F009824,"almond beverage, no added sugar, unfortified",exact
"almond beverage, not further defined",AUS_F009971,"almond beverage, not further defined",exact
"almond beverage, unfortified",AUS_F009969,"almond beverage, unfortified",exact
almond dried blanched,NZ_Q1041,"almond, dried, blanched",generated
almond dry roasted salt added,NZ_Q1008,"almond, dry roasted, salt added",generated
almond dry roasted unblanched no salt added,NZ_Q1004,"almond, dry roasted, unblanched, no salt added",generated
almond kernels dried raw unblanched,NZ_Q1025,"almond, kernels, dried, raw, unblanched",generated
almond milk,NZ_C1126,"almond milk, sugar-sweetened",generated
almond milk  sugar-sweetened,NZ_C1126,"almond milk, sugar-sweetened",generated
almond milk  unsweetened,NZ_C1127,"almond milk, unsweetened",generated
almond milk sugar-sweetened,NZ_C1126,"almond milk, sugar-sweetened",generated
almond milk unsweetened,NZ_C1127,"almond milk, unsweetened",generated
"almond milk, sugar sweetened",NZ_C1126,"almond milk, sugar-sweetened",generated
"almond milk, sugar-sweetened",NZ_C1126,"almond milk, sugar-sweetened",exact
"almond milk, unsweetened",NZ_C1127,"almond milk, unsweetened",exact
almond roasted with oil unblanched no salt added,NZ_Q1003,"almond, roasted with oil, unblanched, no salt added",generated
almond spread,AUS_F009993,"almond spread, no added sugar or salt",generated
almond spread  added sugar  and  salt,AUS_F009994,"almond spread, added sugar  and  salt",generated
almond spread  no added sugar or salt,AUS_F009993,"almond spread, no added sugar or salt",generated
almond spread  not further defined,AUS_F009996,"almond spread, not further defined",generated
almond spread added sugar  and  salt,AUS_F009994,"almond spread, added sugar  and  salt",generated
almond spread no added sugar or salt,AUS_F009993,"almond spread, no added sugar or salt",generated
almond spread not further defined,AUS_F009996,"almond spread, not further defined",generated
"almond spread, added sugar  and  salt",AUS_F009994,"almond spread, added sugar  and  salt",exact
"almond spread, no added sugar or salt",AUS_F009993,"almond spread, no added sugar or salt",exact
"almond spread, not further defined",AUS_F009996,"almond spread, not further defined",exact
"almond, dried, blanched",NZ_Q1041,"almond, dried, blanched",exact
"almond, dry roasted, salt added",NZ_Q1008,"almond, dry roasted, salt added",exact
"almond, dry roasted, unblanched, no salt added",NZ_Q1004,"almond, dry roasted, unblanched, no salt added",exact
"almond, kernels, dried, raw, unblanched",NZ_Q1025,"almond, kernels, dried, raw, unblanched",exact
"almond, roasted with oil, unblanched, no salt added",NZ_Q1003,"almond, roasted with oil, unblanched, no salt added",exact
amaranth,AUS_F000061,"amaranth, grain, whole, uncooked",generated
amaranth  grain  whole  uncooked,AUS_F000061,"amaranth, grain, whole, uncooked",generated
amaranth grain whole uncooked,AUS_F000061,"amaranth, grain, whole, uncooked",generated
"amaranth, grain, whole, uncooked",AUS_F000061,"amaranth, grain, whole, uncooked",exact
amino acid or creatine drink,AUS_F010718,"amino acid or creatine drink, made with water",generated
amino acid or creatine drink  made with cow s milk,AUS_F010719,"amino acid or creatine drink, made with cow s milk",generated
