ingredient_id,standard_name,category,energy_kj_per_100g,protein_g_per_100g,fat_total_g_per_100g,fat_saturated_g_per_100g,carbohydrate_g_per_100g,sugars_g_per_100g,sodium_mg_per_100g,source,source_note
ING001,wheat flour, cereal and grain,1480,10.0,1.2,0.2,73.0,0.3,2,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING002,wholemeal wheat flour, cereal and grain,1420,12.0,2.0,0.4,62.0,0.4,5,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING003,rolled oats, cereal and grain,1590,13.0,8.0,1.4,60.0,1.0,7,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING004,corn starch, cereal and grain,1520,0.3,0.1,0.0,91.0,0.0,9,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING005,white rice cooked, cereal and grain,540,2.7,0.3,0.1,28.0,0.1,1,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING006,white sugar, sugar and sweetener,1700,0.0,0.0,0.0,100.0,100.0,1,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING007,brown sugar, sugar and sweetener,1620,0.1,0.0,0.0,98.0,97.0,28,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING008,honey, sugar and sweetener,1280,0.3,0.0,0.0,82.0,82.0,4,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING009,glucose syrup, sugar and sweetener,1320,0.0,0.0,0.0,80.0,30.0,50,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING010,salt, seasoning,0,0.0,0.0,0.0,0.0,0.0,39300,prototype_seed,"Sodium estimated from sodium chloride composition"
ING011,baking powder, additive,230,0.0,0.0,0.0,28.0,0.0,10600,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING012,baking soda, additive,0,0.0,0.0,0.0,0.0,0.0,27400,prototype_seed,"Sodium estimated from sodium bicarbonate composition"
ING013,canola oil, oil and fat,3700,0.0,100.0,7.0,0.0,0.0,0,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING014,olive oil, oil and fat,3700,0.0,100.0,14.0,0.0,0.0,0,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING015,butter, oil and fat,3030,0.7,81.0,51.0,0.1,0.1,650,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING016,margarine, oil and fat,3000,0.5,80.0,16.0,0.5,0.5,800,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING017,whole milk, dairy,270,3.3,3.5,2.3,4.8,4.8,44,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING018,skim milk, dairy,150,3.5,0.1,0.1,5.0,5.0,45,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING019,milk powder whole, dairy,2050,26.0,27.0,17.0,38.0,38.0,370,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING020,cheddar cheese, dairy,1700,25.0,34.0,21.0,1.3,0.5,620,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING021,egg whole raw, egg,590,12.6,10.0,3.1,1.1,1.1,140,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING022,cocoa powder unsweetened, cocoa and chocolate,950,20.0,14.0,8.0,14.0,1.8,20,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
ING023,dark chocolate, cocoa and chocolate,2250,6.0,35.0,21.0,46.0,24.0,20,prototype_seed,"Typical public food composition value; replace with AFCD/NPC record for final analysis"
