allergen,reference_dose_mg_protein,maximum_action_level_transition_point_ppm,source,note
Cereals (Totals),5.0,20,VITAL 4.0,"Reference dose in mg cereal protein; maximum action level transition point is 20 ppm"
Barley,5.0,20,VITAL 4.0,"Reference dose in mg barley protein; maximum action level transition point is 20 ppm"
Oats,5.0,20,VITAL 4.0,"Reference dose in mg oat protein; maximum action level transition point is 20 ppm"
Rye,5.0,20,VITAL 4.0,"Reference dose in mg rye protein; maximum action level transition point is 20 ppm"
Wheat and its hybrids which contain gluten,5.0,20,VITAL 4.0,"Reference dose in mg wheat protein; maximum action level transition point is 20 ppm"
Wheat and its hybrids which do not contain gluten,5.0,20,VITAL 4.0,"Reference dose in mg wheat protein; maximum action level transition point is 20 ppm"
Crustacean,200.0,,VITAL 4.0,"Reference dose in mg crustacean protein"
Egg,2.0,,VITAL 4.0,"Reference dose in mg egg protein"
Fish,5.0,,VITAL 4.0,"Reference dose in mg fish protein"
Lupin,10.0,,VITAL 4.0,"Reference dose in mg lupin protein"
Milk,2.0,,VITAL 4.0,"Reference dose in mg milk protein"
Mollusc,20.0,,VITAL 4.0,"Reference dose in mg mollusc protein"
Peanut,2.0,,VITAL 4.0,"Reference dose in mg peanut protein"
Sesame,2.0,,VITAL 4.0,"Reference dose in mg sesame protein"
Soy,10.0,,VITAL 4.0,"Reference dose in mg soy protein"
"Tree nuts (Almond, Brazil nut, Cashew, Macadamia, Pecan, Pine nut, Pistachio, Walnut) (Totals)",1.0,,VITAL 4.0,"Reference dose in mg tree nut protein"
Almond,1.0,,VITAL 4.0,"Reference dose in mg almond protein"
Brazil nut,1.0,,VITAL 4.0,"Reference dose in mg Brazil nut protein"
Cashew,1.0,,VITAL 4.0,"Reference dose in mg cashew protein"
Macadamia,1.0,,VITAL 4.0,"Reference dose in mg macadamia protein"
Pecan,1.0,,VITAL 4.0,"Reference dose in mg pecan protein"
Pine nut,1.0,,VITAL 4.0,"Reference dose in mg pine nut protein"
Pistachio,1.0,,VITAL 4.0,"Reference dose in mg pistachio protein"
Walnut,1.0,,VITAL 4.0,"Reference dose in mg walnut protein"
Tree nuts (Hazelnut),3.0,,VITAL 4.0,"Reference dose in mg hazelnut protein"
